,run,timestep,task_type,block_movement,sensory_state,surprisal
0,0,1,avoid,-1,00,0.4480247225269604
1,0,1,avoid,-1,01,2.4849066497880004
2,0,1,avoid,-1,10,1.6376087894007967
3,0,1,avoid,-1,11,2.4849066497880004
4,0,1,avoid,1,00,0.5389965007326869
5,0,1,avoid,1,01,1.6376087894007967
6,0,1,avoid,1,10,1.9740810260220096
7,0,1,avoid,1,11,2.4849066497880004
8,0,1,catch,-1,00,0.1495317339709637
9,0,1,catch,-1,01,3.58351893845611
10,0,1,catch,-1,10,2.4849066497880004
11,0,1,catch,-1,11,3.58351893845611
12,0,1,catch,1,00,0.21622310846963594
13,0,1,catch,1,01,2.4849066497880004
14,0,1,catch,1,10,2.4849066497880004
15,0,1,catch,1,11,3.58351893845611
16,0,2,avoid,-1,00,0.4480247225269604
17,0,2,avoid,-1,01,2.4849066497880004
18,0,2,avoid,-1,10,1.6376087894007967
19,0,2,avoid,-1,11,2.4849066497880004
20,0,2,avoid,1,00,0.3646431135879093
21,0,2,avoid,1,01,2.4849066497880004
22,0,2,avoid,1,10,1.9740810260220096
23,0,2,avoid,1,11,2.4849066497880004
24,0,2,catch,-1,00,0.21622310846963594
25,0,2,catch,-1,01,2.4849066497880004
26,0,2,catch,-1,10,2.4849066497880004
27,0,2,catch,-1,11,3.58351893845611
28,0,2,catch,1,00,0.21622310846963594
29,0,2,catch,1,01,2.4849066497880004
30,0,2,catch,1,10,2.4849066497880004
31,0,2,catch,1,11,3.58351893845611
32,0,3,avoid,-1,00,0.5389965007326869
33,0,3,avoid,-1,01,2.4849066497880004
34,0,3,avoid,-1,10,1.3862943611198906
35,0,3,avoid,-1,11,2.4849066497880004
36,0,3,avoid,1,00,0.3646431135879093
37,0,3,avoid,1,01,2.4849066497880004
38,0,3,avoid,1,10,1.9740810260220096
39,0,3,avoid,1,11,2.4849066497880004
40,0,3,catch,-1,00,0.2876820724517809
41,0,3,catch,-1,01,2.4849066497880004
42,0,3,catch,-1,10,1.9740810260220096
43,0,3,catch,-1,11,3.58351893845611
44,0,3,catch,1,00,0.2876820724517809
45,0,3,catch,1,01,1.9740810260220096
46,0,3,catch,1,10,2.4849066497880004
47,0,3,catch,1,11,3.58351893845611
48,0,4,avoid,-1,00,0.4480247225269604
49,0,4,avoid,-1,01,2.4849066497880004
50,0,4,avoid,-1,10,1.6376087894007967
51,0,4,avoid,-1,11,2.4849066497880004
52,0,4,avoid,1,00,0.3646431135879093
53,0,4,avoid,1,01,3.58351893845611
54,0,4,avoid,1,10,1.9740810260220096
55,0,4,avoid,1,11,1.9740810260220096
56,0,4,catch,-1,00,0.21622310846963594
57,0,4,catch,-1,01,2.4849066497880004
58,0,4,catch,-1,10,2.4849066497880004
59,0,4,catch,-1,11,3.58351893845611
60,0,4,catch,1,00,0.2876820724517809
61,0,4,catch,1,01,1.9740810260220096
62,0,4,catch,1,10,2.4849066497880004
63,0,4,catch,1,11,3.58351893845611
64,0,5,avoid,-1,00,0.3646431135879093
65,0,5,avoid,-1,01,2.4849066497880004
66,0,5,avoid,-1,10,1.9740810260220096
67,0,5,avoid,-1,11,2.4849066497880004
68,0,5,avoid,1,00,0.4480247225269604
69,0,5,avoid,1,01,2.4849066497880004
70,0,5,avoid,1,10,1.9740810260220096
71,0,5,avoid,1,11,1.9740810260220096
72,0,5,catch,-1,00,0.21622310846963594
73,0,5,catch,-1,01,2.4849066497880004
74,0,5,catch,-1,10,2.4849066497880004
75,0,5,catch,-1,11,3.58351893845611
76,0,5,catch,1,00,0.2876820724517809
77,0,5,catch,1,01,1.9740810260220096
78,0,5,catch,1,10,2.4849066497880004
79,0,5,catch,1,11,3.58351893845611
80,0,6,avoid,-1,00,0.2876820724517809
81,0,6,avoid,-1,01,2.4849066497880004
82,0,6,avoid,-1,10,2.4849066497880004
83,0,6,avoid,-1,11,2.4849066497880004
84,0,6,avoid,1,00,0.5389965007326869
85,0,6,avoid,1,01,1.9740810260220096
86,0,6,avoid,1,10,1.9740810260220096
87,0,6,avoid,1,11,1.9740810260220096
88,0,6,catch,-1,00,0.21622310846963594
89,0,6,catch,-1,01,2.4849066497880004
90,0,6,catch,-1,10,2.4849066497880004
91,0,6,catch,-1,11,3.58351893845611
92,0,6,catch,1,00,0.2876820724517809
93,0,6,catch,1,01,1.9740810260220096
94,0,6,catch,1,10,2.4849066497880004
95,0,6,catch,1,11,3.58351893845611
96,0,7,avoid,-1,00,0.2876820724517809
97,0,7,avoid,-1,01,2.4849066497880004
98,0,7,avoid,-1,10,2.4849066497880004
99,0,7,avoid,-1,11,2.4849066497880004
100,0,7,avoid,1,00,0.5389965007326869
101,0,7,avoid,1,01,1.9740810260220096
102,0,7,avoid,1,10,1.9740810260220096
103,0,7,avoid,1,11,1.9740810260220096
104,0,7,catch,-1,00,0.21622310846963594
105,0,7,catch,-1,01,2.4849066497880004
106,0,7,catch,-1,10,2.4849066497880004
107,0,7,catch,-1,11,3.58351893845611
108,0,7,catch,1,00,0.2876820724517809
109,0,7,catch,1,01,1.9740810260220096
110,0,7,catch,1,10,2.4849066497880004
111,0,7,catch,1,11,3.58351893845611
112,0,8,avoid,-1,00,0.2876820724517809
113,0,8,avoid,-1,01,2.4849066497880004
114,0,8,avoid,-1,10,2.4849066497880004
115,0,8,avoid,-1,11,2.4849066497880004
116,0,8,avoid,1,00,0.5389965007326869
117,0,8,avoid,1,01,1.9740810260220096
118,0,8,avoid,1,10,1.9740810260220096
119,0,8,avoid,1,11,1.9740810260220096
120,0,8,catch,-1,00,0.21622310846963594
121,0,8,catch,-1,01,2.4849066497880004
122,0,8,catch,-1,10,2.4849066497880004
123,0,8,catch,-1,11,3.58351893845611
124,0,8,catch,1,00,0.2876820724517809
125,0,8,catch,1,01,1.9740810260220096
126,0,8,catch,1,10,2.4849066497880004
127,0,8,catch,1,11,3.58351893845611
128,0,9,avoid,-1,00,0.2876820724517809
129,0,9,avoid,-1,01,2.4849066497880004
130,0,9,avoid,-1,10,2.4849066497880004
131,0,9,avoid,-1,11,2.4849066497880004
132,0,9,avoid,1,00,0.6390799592896695
133,0,9,avoid,1,01,1.9740810260220096
134,0,9,avoid,1,10,1.6376087894007967
135,0,9,avoid,1,11,1.9740810260220096
136,0,9,catch,-1,00,0.21622310846963594
137,0,9,catch,-1,01,2.4849066497880004
138,0,9,catch,-1,10,2.4849066497880004
139,0,9,catch,-1,11,3.58351893845611
140,0,9,catch,1,00,0.2876820724517809
141,0,9,catch,1,01,1.9740810260220096
142,0,9,catch,1,10,2.4849066497880004
143,0,9,catch,1,11,3.58351893845611
144,0,10,avoid,-1,00,0.2876820724517809
145,0,10,avoid,-1,01,2.4849066497880004
146,0,10,avoid,-1,10,2.4849066497880004
147,0,10,avoid,-1,11,2.4849066497880004
148,0,10,avoid,1,00,0.750305594399894
